DATUMS,ATVASINĀTA PUBLISKAS PERSONAS IESTĀDE,ATVASINĀTA PUBLISKA PERSONA,TIEŠĀS PĀRVALDES IESTĀDE,VALSTS INSTITŪCIJA  KAS NAV PADOTA MINISTRU KABINETAM,PRIVĀTPERSONA  KAS PILDA PILNVAROTU VALSTS FUNKCIJU,MAKSĀTNESPĒJAS PROCESA ADMINISTRATORS,TIESU IESTĀDE,PROKURATŪRA,FIZISKA PERSONA,REĢISTROS REĢISTRĒTS TIESĪBU SUBJEKTS,Kopā
2018-06-01,45,34,135,4,10,0,0,0,0,6,234
2018-07-01,49,36,137,5,11,0,0,0,0,6,244
2018-08-01,145,43,138,7,22,0,0,0,9,7,371
2018-09-01,563,60,139,14,44,0,0,0,83,12,915
2018-10-01,1058,77,141,26,90,0,0,1,532,26,1951
2018-11-01,1331,93,144,35,108,0,0,1,740,33,2485
2018-12-01,1360,97,147,39,119,0,0,1,863,43,2669
2019-01-01,1439,102,149,46,126,0,0,1,2462,201,4526
2019-02-01,1778,103,149,49,127,0,0,1,3084,240,5531
2019-03-01,1781,103,149,50,130,0,0,1,3589,285,6088
2019-04-01,1782,103,149,50,130,0,0,1,4109,323,6647
2019-05-01,1783,103,149,51,131,0,0,1,4400,355,6973
2019-06-01,1783,103,149,53,133,0,0,1,4602,371,7195
2019-07-01,1784,103,150,53,133,0,0,1,4789,395,7408
2019-08-01,1789,103,150,53,133,0,0,1,5004,426,7659
2019-09-01,1792,103,150,53,134,0,0,1,5269,482,7984
2019-10-01,1795,103,150,54,134,0,0,1,5622,578,8437
2019-11-01,1795,103,150,54,135,0,0,1,6188,836,9262
2019-12-01,1795,103,150,91,136,0,1,1,6648,1172,10097
2020-01-01,1829,105,150,147,138,0,2,1,7375,1428,11175
2020-02-01,1850,111,150,147,138,0,2,1,7756,1535,11690
2020-03-01,1859,113,150,240,138,0,2,1,8135,1589,12227
2020-04-01,1862,113,150,242,138,0,2,1,8809,1633,12950
2020-05-01,1870,113,150,244,138,0,2,1,9187,1684,13389
2020-06-01,1878,113,150,246,138,0,2,1,9522,1707,13757
2020-07-01,1878,113,150,246,138,0,2,1,10006,1753,14287
2020-08-01,1881,113,150,246,138,0,2,1,10403,1780,14714
2020-09-01,1881,113,150,246,138,0,2,1,10828,1812,15171
2020-10-01,1882,113,150,246,138,0,2,1,11333,1876,15741
2020-11-01,1882,113,150,246,138,0,2,1,11721,1932,16185
2020-12-01,1882,113,150,246,138,0,2,1,12350,1995,16877
2021-01-01,1883,113,152,246,138,0,2,1,13038,2063,17636
2021-02-01,1885,113,152,246,138,0,2,1,13945,2158,18640
2021-03-01,1888,113,152,247,139,0,2,1,14917,2226,19685
2021-04-01,1891,113,152,247,139,146,17,1,17163,2283,22152
2021-05-01,1893,113,152,247,139,150,17,1,19532,2349,24593
2021-06-01,1894,113,152,247,139,150,17,1,20832,2390,25935
2021-07-01,1911,115,154,247,142,150,17,1,21790,2431,26958
2021-08-01,1918,115,154,247,143,150,17,1,22878,2497,28120
2021-09-01,1936,115,154,247,143,150,17,1,23812,2566,29141
2021-10-01,1954,116,154,247,144,150,17,1,25142,2648,30573
2021-11-01,1985,119,157,248,146,150,17,1,26722,2758,32303
2021-12-01,2029,121,157,248,150,150,17,1,28397,2863,34133
2022-01-01,2037,121,157,248,150,150,17,1,30311,3027,36219
2022-02-01,2086,121,157,248,150,150,17,1,36610,3185,42725
2022-03-01,2090,121,157,248,150,150,17,1,39591,3383,45908
2022-04-01,2106,121,158,249,151,150,17,1,42468,3701,49122
2022-05-01,2119,123,158,251,151,150,17,1,45012,4297,52279
2022-06-01,2123,123,158,252,152,150,17,1,46854,4633,54463
2022-07-01,2141,123,158,254,152,150,17,1,48893,5098,56987
2022-08-01,2160,125,159,254,154,150,17,1,50960,5476,59456
2022-09-01,2167,126,159,256,154,150,17,1,53307,6057,62394
2022-10-01,2168,126,159,256,154,150,17,1,55719,6906,65656
2022-11-01,2179,126,160,256,154,150,17,1,58757,8791,70591
2022-12-01,2182,126,160,256,154,150,17,1,68479,20602,92127
2023-01-01,2191,127,161,256,154,150,17,1,76800,29349,109206
2023-02-01,2193,127,161,256,154,150,17,1,78666,30506,112231
